    PID TTY      STAT   TIME COMMAND
   3363 ?        S<     0:00 [krfcommd]
   3412 ?        Sl     0:00 /usr/lib/ibus-mozc/ibus-engine-mozc --ibus
   3437 ?        Ss     0:00 IDrive:CRON
   3452 ?        Ssl    0:56 /usr/libexec/tracker-store
   3477 ?        S      0:11 IDrive:dashboard:HT                                                                                                   
   3522 ?        S      0:02 IDrive:dashboard:sa                                                                                                   
   3531 ?        Sl     0:00 update-notifier
   3565 ?        S      0:00 IDrive:dashboard:dp                                                                                                   
   3566 ?        S      0:27 IDrive:dashboard:la                                                                                                   
   5149 ?        Sl     0:29 /opt/google/chrome/chrome --type=utility --utility-sub-type=audio.mojom.AudioService --field-trial-handle=3876044592930481446,7957010199101682814,131072 --lang=en-US --service-sandbox-type=none --enable-crash-reporter=5e148f8f-bc23-4eb7-98fb-70faac077367, --shared-files
   6364 ?        Rl    19:11 /opt/google/chrome/chrome --type=gpu-process --field-trial-handle=3876044592930481446,7957010199101682814,131072 --enable-crash-reporter=5e148f8f-bc23-4eb7-98fb-70faac077367, --gpu-preferences=MAAAAAAAAAAgAAAQAAAAAAAAAAAAAAAAAABgAAAAAAAQAAAAAAAAAAAAAAAAAAAACAAAAAAAAAA= --shared-files
   6366 ?        S      0:00 /opt/google/chrome/chrome --type=broker
   7289 ?        Sl     3:16 /usr/lib/thunderbird/thunderbird
   8508 ?        Sl     0:00 /usr/libexec/gvfsd-http --spawner :1.4 /org/gtk/gvfs/exec_spaw/1
   8648 ?        Ssl    0:00 /usr/libexec/gnome-terminal-server
   8659 pts/0    Ss     0:00 bash
   8685 pts/0    S+     0:00 /bin/sh /snap/pycharm-professional/218/bin/pycharm.sh
   8741 pts/0    Sl+    6:02 /snap/pycharm-professional/218/jbr/bin/java -classpath /snap/pycharm-professional/218/lib/bootstrap.jar:/snap/pycharm-professional/218/lib/extensions.jar:/snap/pycharm-professional/218/lib/util.jar:/snap/pycharm-professional/218/lib/jdom.jar:/snap/pycharm-professional/218/lib/log4j.jar:/snap/pycharm-professional/218/lib/trove4j.jar:/snap/pycharm-professional/218/lib/jna.jar -Xms128m -Xmx2048m -XX:ReservedCodeCacheSize=240m -XX:+UseConcMarkSweepGC -XX:SoftRefLRUPolicyMSPerMB=50 -ea -XX:CICompilerCount=2 -Dsun.io.useCanonPrefixCache=false -Djdk.http.auth.tunneling.disabledSchemes="" -XX:+HeapDumpOnOutOfMemoryError -XX:-OmitStackTraceInFastThrow -Djdk.attach.allowAttachSelf=true -Dkotlinx.coroutines.debug=off -Djdk.module.illegalAccess.silent=true -Dawt.useSystemAAFontSettings=lcd -Dsun.java2d.renderer=sun.java2d.marlin.MarlinRenderingEngine -Dsun.tools.attach.tmp.only=true -XX:ErrorFile=/home/suristalnx/java_error_in_PYCHARM_%p.log -XX:HeapDumpPath=/home/suristalnx/java_error_in_PYCHARM.hprof -Didea.vendor.name=JetBrains -Didea.paths.selector=PyCharm2020.2 -Djb.vmOptionsFile=/home/suristalnx/.config/JetBrains/PyCharm2020.2/pycharm64.vmoptions -Didea.platform.prefix=Python com.intellij.idea.Main
   8802 pts/0    S+     0:00 /snap/pycharm-professional/218/bin/fsnotifier64
   9040 pts/1    Ss     0:00 /bin/bash --rcfile /snap/pycharm-professional/218/plugins/terminal/jediterm-bash.in -i
  10460 ?        Sl     1:02 /opt/google/chrome/chrome --type=renderer --field-trial-handle=3876044592930481446,7957010199101682814,131072 --lang=en-US --enable-crash-reporter=5e148f8f-bc23-4eb7-98fb-70faac077367, --disable-client-side-phishing-detection --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=150 --no-v8-untrusted-code-mitigations --shared-files
  10526 ?        Sl     0:35 /opt/google/chrome/chrome --type=renderer --field-trial-handle=3876044592930481446,7957010199101682814,131072 --lang=en-US --enable-crash-reporter=5e148f8f-bc23-4eb7-98fb-70faac077367, --disable-client-side-phishing-detection --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=153 --no-v8-untrusted-code-mitigations --shared-files
  15866 ?        Sl    20:17 /opt/google/chrome/chrome --type=renderer --field-trial-handle=3876044592930481446,7957010199101682814,131072 --lang=en-US --enable-crash-reporter=5e148f8f-bc23-4eb7-98fb-70faac077367, --disable-client-side-phishing-detection --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=228 --no-v8-untrusted-code-mitigations --shared-files
  16813 ?        Sl     0:00 /usr/libexec/gvfsd-network --spawner :1.4 /org/gtk/gvfs/exec_spaw/4
  16827 ?        Sl     0:00 /usr/libexec/gvfsd-dnssd --spawner :1.4 /org/gtk/gvfs/exec_spaw/6
  17059 ?        Sl     0:00 /usr/bin/gnome-calendar --gapplication-service
  18564 ?        Z      0:00 [createThumbnail] <defunct>
  19339 ?        Sl     0:19 /opt/google/chrome/chrome --type=renderer --field-trial-handle=3876044592930481446,7957010199101682814,131072 --lang=en-US --enable-crash-reporter=5e148f8f-bc23-4eb7-98fb-70faac077367, --disable-client-side-phishing-detection --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=269 --no-v8-untrusted-code-mitigations --shared-files
  23101 ?        I      0:01 [kworker/u16:1-events_unbound]
  28829 ?        Sl     0:32 /opt/google/chrome/chrome --type=renderer --field-trial-handle=3876044592930481446,7957010199101682814,131072 --lang=en-US --enable-crash-reporter=5e148f8f-bc23-4eb7-98fb-70faac077367, --disable-client-side-phishing-detection --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=537 --no-v8-untrusted-code-mitigations --shared-files
  29511 ?        I      0:00 [kworker/u16:2-events_unbound]
  29877 ?        I      0:00 [kworker/0:0-events]
  29990 ?        I      0:00 [kworker/2:0-events]
  30907 ?        I      0:00 [kworker/1:3-events]
  31266 ?        I      0:00 [kworker/7:1-events]
  31721 ?        I      0:00 [kworker/3:1-events]
  32424 ?        I      0:00 [kworker/5:3-events]
  32845 ?        I      0:00 [kworker/6:3-events]
  33317 ?        I      0:00 [kworker/3:0-events]
  33557 ?        I      0:00 [kworker/5:0-mm_percpu_wq]
  33559 ?        I      0:00 [kworker/7:0-events]
  34028 ?        I      0:00 [kworker/0:2-mm_percpu_wq]
  34031 ?        I      0:00 [kworker/1:0-events]
  34037 ?        I      0:00 [kworker/4:4-events]
  34056 ?        I      0:00 [kworker/4:5-events]
  34196 ?        I      0:00 [kworker/6:1-events]
  34348 ?        I      0:00 [kworker/2:3-mm_percpu_wq]
  34412 ?        Sl     0:00 /opt/google/chrome/chrome --type=renderer --field-trial-handle=3876044592930481446,7957010199101682814,131072 --lang=en-US --enable-crash-reporter=5e148f8f-bc23-4eb7-98fb-70faac077367, --disable-client-side-phishing-detection --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=731 --no-v8-untrusted-code-mitigations --shared-files
  34506 ?        I      0:00 [kworker/3:2-events]
  34617 ?        I      0:00 [kworker/u16:0]
  34783 ?        I      0:00 [kworker/7:2-events]
  34794 ?        I      0:00 [kworker/0:1-events]
  34803 ?        I      0:00 [kworker/1:1-events]
  34804 ?        Sl     0:00 /opt/google/chrome/chrome --type=renderer --field-trial-handle=3876044592930481446,7957010199101682814,131072 --lang=en-US --enable-crash-reporter=5e148f8f-bc23-4eb7-98fb-70faac077367, --extension-process --disable-client-side-phishing-detection --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=736 --no-v8-untrusted-code-mitigations --shared-files
  34852 pts/1    R+     0:00 ps -ax
  34853 pts/1    S+     0:00 tee processes.txt
